@RELATION gbDE
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {delia,eating,drink}

@DATA
0.063154,0.007522,2.975167,0.155849,0.177624,0.502834,0.010528,0.097265,-27.915799,1.763362,0.638416,-0.055266,-0.162793,-0.030832,-0.067197,-0.037340,0.053263,-0.007565,0.056767,-0.060050,-0.185567,0.014755,0.003414,0.081620,0.007193,0.010569,0.006110,0.096608,0.001746,0.002948,0.014242,0.024986,0.011933,0.045175,0.058670,0.008254,0.280969,0.062757,0.029714,0.456651,0.006834,0.109713,2.565585,0.839113,0.702939,0.597823,0.390171,0.346512,0.309600,0.244658,0.290226,0.251772,0.243768,0.273612,0.272313,0.016381,0.005112,0.073889,0.010082,0.012302,0.010392,0.080954,0.003095,0.004836,0.020265,0.023204,0.018442,0.023892,delia
0.056218,0.012155,3.070771,0.134462,0.167959,0.440793,0.010284,0.099779,-25.569083,2.058000,0.274532,0.259005,0.009965,-0.158744,-0.163102,0.012522,0.057384,0.036622,-0.057449,-0.002263,-0.162089,0.016354,0.004144,0.057537,0.011674,0.011590,0.007512,0.086562,0.001473,0.006031,0.013494,0.028961,0.008372,0.034596,0.050183,0.011013,0.188543,0.060223,0.030452,0.434150,0.006708,0.107192,1.707958,0.774731,0.630760,0.521792,0.349034,0.378561,0.324251,0.262393,0.290852,0.268624,0.269213,0.254267,0.215802,0.017623,0.005502,0.048485,0.015517,0.011409,0.009683,0.073579,0.002236,0.008940,0.016244,0.030472,0.013710,0.019554,delia
0.078793,0.010761,3.095755,0.150445,0.163944,0.659269,0.007696,0.135093,-25.442804,1.416827,0.273178,0.063494,-0.143368,0.001669,-0.180528,-0.009978,-0.050641,-0.056574,-0.054623,-0.121388,-0.128772,0.027169,0.006126,0.058670,0.008978,0.011298,0.007766,0.046663,0.003324,0.005116,0.010780,0.024842,0.010810,0.027612,0.062970,0.008604,0.184420,0.064863,0.026582,0.473876,0.003484,0.112340,1.274202,0.580742,0.469793,0.470301,0.321885,0.345446,0.270869,0.237002,0.236297,0.277154,0.224914,0.240940,0.255309,0.027562,0.010249,0.038336,0.010453,0.010025,0.012398,0.044326,0.004936,0.007209,0.015399,0.017174,0.014659,0.012532,delia
0.061418,0.009983,3.093742,0.138826,0.171808,0.441938,0.008581,0.104242,-25.572556,1.952918,0.266374,0.242135,-0.149526,0.027766,-0.174938,0.023805,0.035587,0.057039,0.043133,-0.054170,-0.111938,0.022605,0.004406,0.057350,0.008630,0.013943,0.006812,0.064153,0.001401,0.005109,0.023225,0.035341,0.008132,0.032501,0.061446,0.008640,0.184877,0.068644,0.032601,0.482161,0.004564,0.124695,1.274323,0.568066,0.473500,0.476293,0.338003,0.372325,0.303154,0.241692,0.227990,0.243258,0.246365,0.227242,0.240564,0.026699,0.006834,0.047858,0.012882,0.014646,0.009123,0.054890,0.001838,0.006473,0.026672,0.027564,0.014535,0.015044,delia
0.084382,0.013107,3.109434,0.165813,0.175711,0.631330,0.008472,0.132845,-25.430580,1.919681,0.317063,0.104564,-0.084531,0.004662,-0.125124,0.025650,0.019495,-0.068644,0.002078,-0.043003,-0.242818,0.024356,0.006242,0.044587,0.013469,0.016474,0.007912,0.039256,0.002740,0.004536,0.012953,0.031678,0.012976,0.026830,0.079455,0.009551,0.187243,0.074816,0.027512,0.523954,0.005336,0.133954,1.572859,0.647443,0.663458,0.487512,0.407904,0.382119,0.289804,0.285854,0.323944,0.262732,0.282622,0.282936,0.314123,0.027699,0.009047,0.041447,0.023388,0.018521,0.010359,0.034856,0.005601,0.007227,0.017608,0.027261,0.017968,0.014201,delia
0.040725,0.018375,3.093284,0.111641,0.159517,0.303447,0.010260,0.068788,-24.778809,2.448343,0.288001,0.253459,-0.092120,-0.033725,-0.094929,0.004217,-0.043766,0.028404,0.070335,0.103606,-0.028661,0.018790,0.002583,0.053059,0.006646,0.018850,0.011402,0.069567,0.001266,0.005932,0.024486,0.042565,0.006987,0.031797,0.039511,0.014694,0.167603,0.052972,0.034035,0.376844,0.005451,0.086922,1.276679,0.610331,0.561407,0.474443,0.329710,0.342831,0.267431,0.272518,0.270868,0.211317,0.206468,0.235451,0.239216,0.020077,0.004234,0.046477,0.007287,0.016653,0.017807,0.053489,0.002193,0.007545,0.022047,0.027742,0.011400,0.013971,delia
0.060170,0.015621,3.077502,0.138052,0.167580,0.469762,0.011300,0.099042,-25.562695,2.268615,0.319024,0.028601,-0.114119,-0.267367,-0.160065,0.032604,-0.040287,0.022156,0.060754,0.005990,-0.152055,0.024520,0.003457,0.048980,0.011149,0.013886,0.008883,0.047443,0.001177,0.005239,0.024067,0.033961,0.012801,0.030598,0.064951,0.012130,0.218937,0.066479,0.029062,0.528502,0.006747,0.117750,1.430197,0.717775,0.714956,0.557974,0.417767,0.329735,0.317573,0.252642,0.266719,0.270300,0.270415,0.278530,0.273767,0.027241,0.004577,0.048515,0.015448,0.013142,0.012738,0.041744,0.001762,0.008702,0.029716,0.031657,0.019148,0.014145,delia
0.047589,0.010783,3.098507,0.119857,0.163078,0.340170,0.011977,0.076883,-26.080368,2.305247,0.325755,0.191707,-0.225503,-0.214686,-0.179868,0.014745,-0.051498,-0.066775,0.026333,-0.021524,-0.154611,0.030097,0.003093,0.051217,0.013850,0.017872,0.012095,0.056379,0.001423,0.004453,0.019588,0.036524,0.014289,0.033811,0.047759,0.008287,0.225720,0.053971,0.031622,0.399909,0.007564,0.093122,1.470208,0.693141,0.585296,0.582657,0.343266,0.383017,0.309509,0.270550,0.275461,0.247547,0.256465,0.277105,0.265760,0.030757,0.004442,0.046588,0.022289,0.020756,0.020818,0.050700,0.002416,0.006817,0.024413,0.036473,0.023174,0.014454,delia
0.073788,0.005666,3.022225,0.161277,0.174348,0.571699,0.011794,0.126112,-28.066483,2.202423,0.559279,-0.069072,-0.245245,0.001822,-0.087254,-0.072617,0.043632,-0.014102,0.078577,-0.113495,-0.202412,0.016136,0.003857,0.063568,0.007810,0.009233,0.005773,0.067766,0.003157,0.004632,0.021105,0.034990,0.006432,0.037068,0.080712,0.005736,0.283009,0.086535,0.032452,0.662756,0.008241,0.156049,2.377447,0.825517,0.788596,0.527707,0.428927,0.408635,0.322880,0.265393,0.248428,0.293060,0.270639,0.255077,0.282453,0.020718,0.007196,0.060991,0.013547,0.010651,0.010120,0.072239,0.007218,0.007928,0.027447,0.033981,0.012393,0.019512,delia
0.034206,0.000421,2.919127,0.131483,0.186902,0.250454,0.009545,0.036874,-31.588948,2.187172,0.848012,0.585982,0.311716,0.261143,0.260671,0.054145,0.055525,-0.004516,0.066192,0.009349,0.003017,0.006583,0.000696,0.143763,0.003974,0.024603,0.002322,0.160895,0.000530,0.001230,0.005415,0.026181,0.000883,0.062438,0.023875,0.000553,0.202468,0.030668,0.022231,0.234301,0.005781,0.046652,1.110037,0.528612,0.357352,0.255565,0.241532,0.214564,0.194512,0.181543,0.175971,0.170871,0.171613,0.158231,0.152797,0.006188,0.000830,0.082581,0.003749,0.019424,0.002468,0.077680,0.000708,0.001466,0.004992,0.018920,0.001056,0.016903,eating
0.106600,0.003002,2.907789,0.254836,0.233541,0.855142,0.052936,0.160713,-36.482090,0.444406,0.041721,0.262523,0.214332,-0.014321,0.274015,0.027163,-0.180690,0.099894,0.088824,0.001433,0.141592,0.001013,0.000702,0.007202,0.001199,0.080566,0.001594,0.097746,0.000453,0.000528,0.000723,0.002420,0.000607,0.041860,0.121631,0.005986,0.358762,0.142822,0.122968,1.046467,0.204719,0.267332,8.613558,1.485025,0.277107,0.267860,0.193684,0.293078,0.317908,0.139531,0.224157,0.223875,0.200098,0.128364,0.158140,0.001019,0.000874,0.008033,0.001891,0.065573,0.002768,0.135665,0.000622,0.000555,0.000951,0.002737,0.001267,0.033258,eating
0.054606,0.000372,2.787178,0.215288,0.256415,0.446201,0.012835,0.066461,-32.838467,1.479629,0.517341,0.534969,0.192230,0.180715,0.078932,0.237115,0.075519,0.148959,0.177427,0.054249,0.112765,0.001964,0.000758,0.037170,0.001909,0.061069,0.001242,0.176163,0.000543,0.001160,0.002536,0.014152,0.000688,0.056887,0.039450,0.000722,0.324123,0.035606,0.028921,0.498390,0.011827,0.100374,1.781289,0.905257,0.404498,0.293610,0.281459,0.266699,0.225780,0.198775,0.188149,0.162912,0.162959,0.148682,0.141302,0.002413,0.001100,0.039529,0.002187,0.039597,0.001411,0.104095,0.000886,0.001632,0.002864,0.013580,0.000858,0.024512,eating
0.175411,0.003502,2.723402,0.235398,0.169085,1.587958,0.015940,0.267351,-37.337938,-0.479193,0.122664,0.177486,-0.068842,-0.175373,-0.009963,-0.030266,-0.117467,-0.001511,-0.039422,0.030328,0.077554,0.002556,0.001954,0.005071,0.003525,0.005023,0.004536,0.045687,0.001805,0.002903,0.002441,0.005224,0.001575,0.013933,0.080182,0.007971,0.597351,0.094220,0.066775,0.667509,0.052496,0.146184,6.238657,0.845758,0.397560,0.327583,0.279864,0.275047,0.276353,0.229013,0.215077,0.198987,0.183938,0.170208,0.157100,0.002961,0.002088,0.007483,0.005216,0.007387,0.005672,0.043605,0.001722,0.003863,0.002667,0.008014,0.001437,0.012229,eating
0.229102,0.002778,2.284095,0.293388,0.214528,1.981368,0.001653,0.413740,-31.283104,-1.075965,0.031608,0.356523,0.006852,-0.274069,-0.155258,0.019660,-0.190572,-0.099221,0.153699,0.033149,0.100956,0.003175,0.002941,0.008115,0.005551,0.008448,0.003578,0.018831,0.002326,0.002330,0.002729,0.002587,0.001378,0.006005,0.074593,0.005902,0.848948,0.066535,0.037013,0.464215,0.000781,0.175126,4.141525,1.384939,0.459041,0.349023,0.327347,0.295677,0.195952,0.244486,0.210551,0.277223,0.239044,0.252381,0.201035,0.002517,0.002081,0.009103,0.003515,0.015046,0.003093,0.030202,0.001939,0.002753,0.002001,0.002805,0.001149,0.008294,eating
0.499161,0.166819,3.317693,0.500473,0.288635,3.316852,0.000454,0.899294,-21.804089,-0.056974,-0.008258,0.010349,0.014965,0.002073,0.007522,-0.000605,-0.000567,0.003355,0.000275,0.001883,0.006747,0.001501,0.001199,0.002169,0.001508,0.001658,0.001528,0.002646,0.001237,0.001419,0.001602,0.001691,0.001236,0.000679,0.013088,0.004134,0.001899,0.000302,0.002707,0.003326,0.000026,0.007906,0.130868,0.136615,0.132073,0.138185,0.139902,0.136307,0.130247,0.130605,0.136783,0.136992,0.132509,0.132866,0.127069,0.000539,0.000478,0.000709,0.000528,0.000527,0.000554,0.000810,0.000497,0.000523,0.000560,0.000595,0.000493,0.000166,eating
